TOTALS: 85 of 85	Registered voters	Ballots Cast	Turnout	Joseph R. Biden	Donald J. Trump	Jo Jorgensen	Don Blankenship	Howie Hawkins	Rocky De La Fuente	Total write-in
Frankenmuth Township Precinct 1	1,571	1,327	84.47%	358	941	13	0	2	1	1
Fremont Township Precinct 1	1,709	1,307	76.48%	380	907	9	4	3	1	0
James Township Precinct 1	1,607	1,224	76.17%	401	801	12	3	1	0	2
Jonesfield Township Precinct 1	1,323	984	74.38%	313	642	13	5	3	2	0
Kochville Township Precinct 1	1,967	1,394	70.87%	556	798	20	1	6	0	2
Lakefield Township Precinct 1	763	593	77.72%	171	415	5	0	1	0	0
Maple Grove Township Precinct 1	2,148	1,690	78.68%	599	1,054	16	4	5	1	4
Marion Township Precinct 1	610	446	73.11%	107	329	4	1	3	1	0
Richland Township Precinct 1	1,769	1,338	75.64%	398	910	18	3	1	0	1
Richland Township Precinct 2	1,648	1,294	78.52%	393	874	15	3	1	1	1
Saginaw Township Precinct 1	2,268	1,401	61.77%	858	514	18	3	1	1	4
Saginaw Township Precinct 2	1,635	1,295	79.2%	629	639	10	1	2	3	0
Saginaw Township Precinct 3	1,654	1,292	78.11%	673	586	21	1	2	0	3
Saginaw Township Precinct 4	1,333	1,037	77.79%	466	541	17	2	7	0	0
Saginaw Township Precinct 5	2,579	1,889	73.25%	955	888	21	4	8	2	7
Saginaw Township Precinct 6	2,454	1,829	74.53%	931	851	24	3	2	1	3
Saginaw Township Precinct 7	2,738	2,003	73.16%	1,082	882	14	2	7	2	2
Saginaw Township Precinct 8	1,414	1,113	78.71%	552	542	6	2	4	0	1
Saginaw Township Precinct 9	2,064	1,609	77.96%	785	791	8	2	1	2	5
Saginaw Township Precinct 10	2,610	1,850	70.88%	962	852	11	2	6	2	2
Saginaw Township Precinct 11	2,538	1,631	64.26%	999	585	20	4	10	1	1
Saginaw Township Precinct 12	1,981	1,563	78.9%	756	773	18	2	2	0	0
Saginaw Township Precinct 13	2,778	2,004	72.14%	1,113	841	30	3	2	0	3
Saginaw Township Precinct 14	2,482	1,875	75.54%	891	947	16	2	3	0	5
Saginaw Township Precinct 15	984	813	82.62%	383	422	4	0	0	0	0
Saginaw Township Precinct 16	2,774	2,154	77.65%	964	1,146	25	1	3	3	4
Spaulding Township Precinct 1	1,772	1,107	62.47%	530	555	9	3	6	0	0
St. Charles Township Precinct 1	1,139	794	69.71%	225	552	12	0	1	1	2
St. Charles Township Precinct 2	1,438	911	63.35%	329	556	12	3	1	2	3
Swan Creek Township Precinct 1	2,038	1,600	78.51%	468	1,109	14	4	1	0	2
Taymouth Township Precinct 1	1,404	1,015	72.29%	364	633	9	0	3	1	0
Taymouth Township Precinct 2	2,021	1,517	75.06%	539	943	20	3	1	0	4
Thomas Township Precinct 1	1,389	1,111	79.99%	366	728	12	0	1	0	1
Thomas Township Precinct 2	1,639	1,221	74.5%	480	713	10	4	0	0	1
Thomas Township Precinct 3	1,872	1,372	73.29%	491	848	15	4	2	3	4
Thomas Township Precinct 4	1,180	945	80.08%	287	645	8	0	1	1	0
Thomas Township Precinct 5	1,470	1,094	74.42%	435	631	9	3	3	1	2
Thomas Township Precinct 6	1,375	995	72.36%	380	597	8	0	1	0	0
Thomas Township Precinct 7	1,319	1,070	81.12%	399	651	13	2	1	0	1
Tittabawassee Township Precinct 1	2,212	1,741	78.71%	645	1,053	20	3	4	1	2
Tittabawassee Township Precinct 2	1,753	1,425	81.29%	501	892	16	2	3	0	2
Tittabawassee Township Precinct 3	1,298	996	76.73%	308	665	11	3	3	0	1
Tittabawassee Township Precinct 4	1,912	1,530	80.02%	556	946	14	0	3	1	3
Zilwaukee Township Precinct 1	54	43	79.63%	13	30	0	0	0	0	0
